Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Ontology_parents_of_class	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway
PWY-6029	CPD-7088 // CPD-10358 // CPD-590 // CPD-1961 // PROTON // NADPH // LEUCOPELARGONIDIN-CMPD // CPD-1962 // NADP // WATER	MONOMER-14180 // MONOMER-14185	G-10832 // G-10834	FLAVONOID-SYN // Metabolic-Clusters	RXN-1481 // RXN-1484 // RXN-9720	LEUCOPELARGONIDIN-CMPD // NADPH // PROTON // CPD-590 // CPD-7088	CPD-1962 // NADP // WATER // CPD-1961 // CPD-10358
PWY-6051	CPD-10451 // CPD-10448 // CPD-10452 // CPD-10450 // CPD-9138 // CPD-10453 // CPD-10460 // CPD-10458 // Acceptor // WATER // CPD-10457 // Donor-H2 // CPD-10456 // CPD-10455 // PROTON // UDP // CPD-10449 // CPD-12575 // CPD-10447	AT1G05680-MONOMER // AT2G36790-MONOMER // AT2G36750-MONOMER // AT2G15480-MONOMER // AT2G15490-MONOMER // AT4G34135-MONOMER	AT1G05680 // AT2G36790 // AT2G36750 // AT2G15480 // AT2G15490 // AT4G34135	Nitro-Toluene-Degradation	RXN-9752 // RXN-9751 // RXN-9750 // RXN-9749 // RXN-9748 // RXN-9747 // RXN-9746 // RXN-9745 // RXN-9744 // RXN-9743 // RXN-9742 // RXN-9741	CPD-12575 // Donor-H2 // CPD-9138	CPD-10449 // UDP // CPD-10456 // WATER // Acceptor // CPD-10458 // CPD-10460 // CPD-10452 // CPD-10448
PWY-5837	AMP // PPI // ATP // O-SUCCINYLBENZOATE // CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	AT1G30520-MONOMER // MONOMER-11678 // MONOMER-13723 // AT1G74710-MONOMER // AT1G18870-MONOMER // MONOMER-13721 // AT1G68890-MONOMER // AT1G60550-MONOMER // AT1G48320-MONOMER // AT5G48950-MONOMER // AT1G68890-MONOMER	AT1G30520 // AT1G74710 // AT1G18870 // AT1G68890 // AT1G60550 // AT1G48320 // AT5G48950 // AT1G68890	DHNA-Biosynthesis	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN	2-KETOGLUTARATE // CHORISMATE // ATP // ATP	DIHYDROXYNAPHTHOATE // PYRUVATE // CARBON-DIOXIDE // PPI // AMP // AMP // PPI
PWY-6585	CPD-7901 // CPD-14242 // 3-oxo-myristoyl-ACPs // 3-oxo-dodecanoyl-ACPs // ACP // 3-oxo-palmitoyl-ACPs // WATER // CPD-7898 // CPD-16497 // 2-UNDECANONE // CARBON-DIOXIDE // 3-OXODODECANOATE // PROTON	MONOMER-15857	G-12180 // G-10466	Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669	3-oxo-palmitoyl-ACPs // WATER // 3-oxo-dodecanoyl-ACPs // 3-oxo-myristoyl-ACPs	CARBON-DIOXIDE // 2-UNDECANONE // CPD-7898 // ACP // CPD-7901
PWY-7460	Glucopyranose // CPD-8674 // MESO-TARTRATE // CO-A // CPD-16579 // CPD-16578 // ACETYL-COA	MONOMER-18560 // MONOMER-18561		CINNAMATE-SYN	RXN-15360 // RXN-15359	ACETYL-COA // CPD-8674 // MESO-TARTRATE	CPD-16579 // CO-A // Glucopyranose
PWY-5084	CARBON-DIOXIDE // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CO-A // SUC-COA // PROTON // NADH // Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // NAD	AT3G55410-MONOMER // AT5G65750-MONOMER // AT5G55070-MONOMER // AT4G26910-MONOMER // AT4G16155-MONOMER // AT3G16950-MONOMER // AT3G17240-MONOMER	AT3G55410 // AT5G65750 // AT5G55070 // AT4G26910 // AT4G16155 // AT3G16950 // AT3G17240	Respiration	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN	NAD // CO-A // 2-KETOGLUTARATE	NADH // SUC-COA // CARBON-DIOXIDE
PWY-5046	CARBON-DIOXIDE // 2-KETO-ISOVALERATE // CO-A // BCAA-dehydrogenase-2MP-DH-lipoyl // ISOBUTYRYL-COA // PROTON // NADH // BCAA-dehydrogenase-lipoyl // BCAA-dehydrogenase-DH-lipoyl // NAD	AT1G55510-MONOMER // MONOMERQT-9600 // AT5G59440-MONOMER // AT1G48030-MONOMER // AT3G06850-MONOMER // AT4G16155-MONOMER // AT3G16950-MONOMER // AT3G17240-MONOMER // CPLXQT-2	AT1G55510 // AT1G21400 // AT5G59440 // AT1G48030 // AT4G16155 // AT3G16950 // AT3G17240 // AT3G13450 // AT5G09300 // AT3G06850 // AT3G17240	Respiration	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN	NAD // CO-A // 2-KETO-ISOVALERATE	NADH // ISOBUTYRYL-COA // CARBON-DIOXIDE
PWY-6424	CPD-12160 // CPD-12161 // METHYL-GROUP // ADENOSYL-HOMO-CYS // CPD-12162 // S-ADENOSYLMETHIONINE // CPD-12159 // METOH // PROTON	MONOMER-15391 // CPLX-8724	G-11789 // G-11790	Sterol-Biosynthesis	RXN-11203 // RXN-11202 // RXN-11201	S-ADENOSYLMETHIONINE // CPD-12159 // METOH // PROTON	CPD-12162 // ADENOSYL-HOMO-CYS // METHYL-GROUP // CPD-12161 // CPD-12160
PWY-7065	CPD-13925 // CPD-13926 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-14479 // CPD-14478 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-17469 // MONOMER-17468		DITERPENOID-SYN	RXN-13488 // RXN-13487 // RXN-13486 // RXN-12885	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-13925	CPD-14479 // Ox-NADPH-Hemoprotein-Reductases // WATER
PWY-7095	PROTON // UDP // CPD-14593 // CPD-14592 // CPD-12575	MONOMER-17558		CYANOGENIC-GLUCOSIDE-SYN	RXN-13598	CPD-14592 // CPD-12575	CPD-14593 // UDP // PROTON
PWY-7076	ORCINOL-CPD // ADENOSYL-HOMO-CYS // CPD-9502 // PROTON // S-ADENOSYLMETHIONINE // CPD-9501	MONOMER-17507 // MONOMER-17508 // CPLX-8510 // CPLX-8511	G-15246 // G-15247 // G-10442 // G-10441	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-9018 // RXN-9017	S-ADENOSYLMETHIONINE // ORCINOL-CPD	PROTON // CPD-9502 // ADENOSYL-HOMO-CYS
CHLOROPHYLL-SYN	HYDROGEN-PEROXIDE // UROPORPHYRINOGEN-III // ADP // Pi // ATP // PROTOPORPHYRIN_IX // MG+2 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MG-PROTOPORPHYRIN // CARBON-DIOXIDE // PROTOPORPHYRINOGEN // COPROPORPHYRINOGEN_III // 131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M // WATER // 13-HYDROXY-MAGNESIUM-PROTOPORP // MG-PROTOPORPHYRIN-MONOMETHYL-ESTER // OXYGEN-MOLECULE // Light // PROTON // NADPH // DIVINYL-PROTOCHLOROPHYLLIDE-A // NADP // DIVINYLCHLOROPHYLLIDE-A	MONOMERDQC-46463 // MONOMERDQC-51631 // MONOMERDQC-54347 // CRE09.G396300-MONOMER // MONOMERQT-7980 // MONOMER-11759 // AT4G01690-MONOMER // GIO2-4449-MONOMER // MONOMERDQC-51113 // MONOMERDQC-52522 // ZM00001D011387-MONOMER // MONOMERDQC-55783 // ZM00001D044321-MONOMER // MONOMERIO2-5798 // CRE02.G076300-MONOMER // CRE11.G467700-MONOMER // AT2G40490-MONOMER // AT3G14930-MONOMER // MONOMER-11784 // GDQC-108880-MONOMER // MONOMERDQC-43093 // ZM00001D001850-MONOMER // MONOMERDQC-50450 // MONOMERDQC-51400 // CRE12.G510800-MONOMER // CRE05.G242000-MONOMER // CRE06.G306300-MONOMER // CRE11.G477625-MONOMER // CRE07.G325500-MONOMER // CPLX1F-80 // AT4G18480-MONOMER // AT5G13630-MONOMER // CPLX-6983 // CPLX1F-78 // GIO2-68-MONOMER // MONOMERDQC-5752 // GDQC-107317-MONOMER // GDQC-114541-MONOMER // ZM00001D036046-MONOMER // CRE12.G498550-MONOMER // AT4G25080-MONOMER // MONOMERDQC-42809 // MONOMERDQC-48388 // CRE02.G085450-MONOMER // CRE02.G092600-MONOMER // AT4G03205-MONOMER // AT1G03475-MONOMER // GIO2-4540-MONOMER // GDQC-112611-MONOMER // ZM00001D029027-MONOMER // ZM00001D040463-MONOMER // ZM00001D008230-MONOMER // CRE12.G510050-MONOMER // CRE12.G490500-MONOMER // MONOMERIO2-5965 // AT3G56940-MONOMER // AT5G58250-MONOMER // AT3G56940-MONOMER // AT1G03630-MONOMER // AT4G27440-MONOMER // AT5G54190-MONOMER	ZM00001D008203 // ZM00001D040539 // ZM00001D003214 // CRE09.G396300 // AT5G14220 // G-9139 // AT4G01690 // GIO2-4449 // ZM00001D011386 // ZM00001D028083 // ZM00001D011387 // ZM00001D029074 // ZM00001D044321 // CRE02.G073700 // CRE02.G076300 // CRE11.G467700 // AT2G40490 // AT3G14930 // G-9152 // GDQC-108880 // ZM00001D023536 // ZM00001D001850 // ZM00001D013013 // ZM00001D026603 // CRE12.G510800 // CRE05.G242000 // CRE06.G306300 // CRE11.G477625 // CRE07.G325500 // AT1G08520 // AT5G45930 // AT4G18480 // AT5G13630 // G-9148 // G-9149 // G-9150 // AT1G08520 // AT5G13630 // AT4G18480 // GIO2-68 // GDQC-5744 // GDQC-107317 // GDQC-114541 // ZM00001D036046 // CRE12.G498550 // AT4G25080 // ZM00001D026277 // ZM00001D002358 // CRE02.G085450 // CRE02.G092600 // AT4G03205 // AT1G03475 // GIO2-4540 // GDQC-112611 // ZM00001D029027 // ZM00001D040463 // ZM00001D008230 // CRE12.G510050 // CRE12.G490500 // CRE07.G346050 // AT3G56940 // AT5G58250 // AT3G56940 // AT1G03630 // AT4G27440 // AT5G54190	Chlorophyllide-a-Biosynthesis	RXN-5285 // RXN-5282 // RXN-5283 // RXN-5284 // RXN0-1461 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // PROTOPORGENOXI-RXN	NADPH // Light // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // ATP // MG+2 // UROPORPHYRINOGEN-III	NADP // DIVINYLCHLOROPHYLLIDE-A // CARBON-DIOXIDE // ADENOSYL-HOMO-CYS // Pi // ADP // HYDROGEN-PEROXIDE
PWY-7064	CPD-674 // AMMONIUM // PHE // PPI // AMP // CPD-9207 // CPD-14474 // ATP // CO-A	MONOMER-17466 // CPLX-8496	G-15225	Cofactor-Biosynthesis	RXN-13485 // RXN-13484	ATP // CO-A // PHE	CPD-9207 // AMP // PPI
PWY-6451	PPI // CPD-8756 // GERANYL-PP	MONOMER-15470	G-11853	MONOTERPENOID-SYN	RXN-8565	GERANYL-PP	CPD-8756 // PPI
PWY-6164	DEHYDROQUINATE // Pi // 3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P // PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER			3-Dehydroquinate-Biosynthesis	DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN	PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER	Pi // DEHYDROQUINATE
PWY-5389	CARBON-MONOXIDE // FORMATE // CPD-7672 // PROTON // CPD-85 // OXYGEN-MOLECULE	OS10G0419400-MONOMER // CPLX-7209	OS10G0419400 // G-9728	S-CONTAINING-SECONDARY-CMPD-SYN	R146-RXN	CPD-85 // OXYGEN-MOLECULE	PROTON // CPD-7672 // FORMATE // CARBON-MONOXIDE
PWY-7497	CPD-16767 // CPD-16766 // WATER // Ox-NADPH-Hemoprotein-Reductases // CPD-16771 // CPD-9410 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	MONOMER-18667 // MONOMER-18668	G-27142 // G-27143	SESQUITERPENE-LACTONE	RXN-15533 // RXN-15532 // RXN-15531	CPD-9410 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE	CPD-16771 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-16767
PWY-6890	ADP // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ATP // AMINO-HYDROXYMETHYL-METHYL-PYR-P // CH33ADO // MET // FORMATE // CARBON-MONOXIDE // PROTON // S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	AT1G22940-MONOMER // AT2G29630-MONOMER	AT1G22940 // AT2G29630	HMP-PP-Biosynthesis	PYRIMSYN1-RXN // PYRIMSYN3-RXN	S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // ATP	PROTON // CARBON-MONOXIDE // FORMATE // MET // CH33ADO // CH33ADO // MET // FORMATE // CARBON-MONOXIDE // PROTON // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ADP
PWY-6543	GLT // GLN // CHORISMATE // PYRUVATE // P-AMINO-BENZOATE // PROTON // 4-AMINO-4-DEOXYCHORISMATE	OS06G0699700-MONOMER // MONOMERN7V-52066 // GLYMA.20G179400-MONOMER // MONOMER-8741 // AT2G28880-MONOMER // MONOMERN7F-10733 // OS02G0272850-MONOMER // MONOMERN7F-11413 // MONOMERN7F-11445 // GLYMA.06G082700-MONOMER // GLYMA.13G274402-MONOMER // MONOMERN7V-52541 // GLYMA.20G145700-MONOMER // GLYMA.17G190800-MONOMER // GLYMA.04G081001-MONOMER // MONOMERQT-8482 // CPLX-5401 // AT5G57850-MONOMER	OS06G0699700 // GLYMA.10G211600 // GLYMA.20G179400 // G-12101 // AT2G28880 // OS05G0244700 // OS02G0272850 // OS01G0238500 // OS02G0273100 // GLYMA.06G082700 // GLYMA.13G274402 // GLYMA.12G226400 // GLYMA.20G145700 // GLYMA.17G190800 // GLYMA.04G081001 // AT3G54970 // G-6741 // AT5G57850	Folate-Biosynthesis	ADCLY-RXN // PABASYN-RXN	GLN // CHORISMATE	PROTON // P-AMINO-BENZOATE // PYRUVATE // GLT
PWY-6535	GLT // 2-KETOGLUTARATE // 4-AMINO-BUTYRATE // SUC // NADH // PROTON // WATER // NAD // SUCC-S-ALD	MONOMER-15565	G-11940	4-Aminobutyraye-Degradation	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN	WATER // NAD // 2-KETOGLUTARATE // 4-AMINO-BUTYRATE	PROTON // NADH // SUC // GLT
PWY-6473	L-ALPHA-ALANINE // 4-AMINO-BUTYRATE // PYRUVATE // SUC // NADH // PROTON // WATER // NAD // SUCC-S-ALD	AT3G22200-LER-MONOMER // CPLXQT-29 // CPLX-6121	AT3G22200-LER // AT3G22200 // AT1G79440	4-Aminobutyraye-Degradation	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902	WATER // NAD // 4-AMINO-BUTYRATE // PYRUVATE	PROTON // NADH // SUC // L-ALPHA-ALANINE
PWY-6435	PPI // AMP // COUMARATE // ATP // P-COUMAROYL-COA // NADH // CPD-12199 // NAD // CPD-10600 // ACETYL-COA // CO-A // 4-hydroxybenzoate // PROTON // CPD-201 // WATER	MONOMER-13687 // MONOMER-15421	G-10448	4-Hydroxybenzoate-Biosynthesis	3.1.2.23-RXN // RXN-11246 // RXN-11245 // RXN-11244 // 4-COUMARATE--COA-LIGASE-RXN	WATER // NAD // COUMARATE // ATP	PROTON // 4-hydroxybenzoate // ACETYL-COA // NADH // AMP // PPI
PWY-6431	PROTON // NADH // 4-hydroxybenzoate // NAD // ACET // 4-HYDROXYBENZALDEHYDE // COUMARATE // WATER	MONOMER-15419 // MONOMER-15418		4-Hydroxybenzoate-Biosynthesis	RXN-8871 // HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	COUMARATE // WATER // NAD	ACET // 4-hydroxybenzoate // NADH // PROTON
PWY-6418	CARBON-DIOXIDE // CO-A // CPD-12112 // MALONYL-COA // PROTON // WATER // DICOUMAROL // CPD-12111 // FORMALDEHYDE	MONOMER-15331 // MONOMER-15332	G-11734 // G-11735	POLYKETIDE-SYN // PHYTOALEXIN-SYN	RXN-13647 // RXN-11171	FORMALDEHYDE // CPD-12112 // MALONYL-COA // PROTON	DICOUMAROL // WATER // CO-A // CARBON-DIOXIDE
PWY-8024	HYDROGEN-PEROXIDE // CPD-21649 // CPD-21650 // TRP // CPD-13026 // CARBON-DIOXIDE // PROTON // CPD-13027 // INDOLE-3-ACETALDOXIME // CPD-13028 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-21441 // INDOLEYL-CPD // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT1G26380-MONOMER // AT4G31970-MONOMER // AT1G58265-MONOMER // CPLX-1523 // CPLX-2281	AT1G26380 // AT4G31970 // AT1G58265 // AT4G39950 // AT2G22330	N-CONTAINING-SECONDARY-CMPD-SYN	RXN-19839 // RXN-19841 // RXN-19840 // RXN-12063 // RXN-12062 // RXN-12061 // RXN-20040 // RXN-20042	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // TRP	WATER // Ox-NADPH-Hemoprotein-Reductases // CARBON-DIOXIDE // CPD-21649 // HYDROGEN-PEROXIDE
PWY-5886	P-HYDROXY-PHENYLPYRUVATE // GLT // TYR // 2-KETOGLUTARATE	AT5G53970-MONOMER // AT5G36160-MONOMER // AT1G80360-MONOMER // CPLX-6979 // CPLX-6980 // AT5G51690-MONOMER // AT1G70560-MONOMER	AT5G53970 // AT5G36160 // AT1G80360 // AT5G51690 // AT1G70560	AROMATIC-COMPOUNDS-BIOSYN	TYROSINE-AMINOTRANSFERASE-RXN	TYR // 2-KETOGLUTARATE	GLT // P-HYDROXY-PHENYLPYRUVATE
PWY-6121	PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // THF-GLU-N // FORMYL-THF-GLU-N // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // GLT // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // PROTON // ADP // Pi // ATP // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	AT2G16570-MONOMER // AT4G38880-MONOMER // AT4G34740-MONOMER // AT1G09830-MONOMER // AT1G31220-MONOMER // AT1G74260-MONOMER // AT3G55010-MONOMER	AT2G16570 // AT4G38880 // AT4G34740 // AT1G09830 // AT1G31220 // AT1G74260 // AT3G55010	AIR-Biosynthesis	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN	ATP // ATP // GLN // WATER // FORMYL-THF-GLU-N // GLY // GLY // PRPP // PRPP	Pi // ADP // PROTON // PROTON // ADP // Pi // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // GLT // GLT // THF-GLU-N // PPI // PPI
PWY-7101	CPD1F-129 // CPD-7204 // CPD-14646 // CPD-14650 // CPD-14647 // CPD-14649 // OXYGEN-MOLECULE // Donor-H2 // CPD-14652 // CPD-14651 // Acceptor // PROTON	OS11G0587000-MONOMER // OS05G0131100-MONOMER // OS05G0131401-MONOMER // OS08G0114100-MONOMER // MONOMERQT-8374 // MONOMERQT-9377 // MONOMERQT-9741 // MONOMER-17611 // OS04G0550600-MONOMER // AT2G44990-MONOMER // OS01G0566500-MONOMER // OS01G0746400-MONOMER // AT4G32810-MONOMER	OS11G0587000 // OS05G0131100 // OS05G0131401 // OS08G0114100 // AT4G01995 // AT1G64680 // AT1G03055 // G-15330 // OS04G0550600 // AT2G44990 // OS01G0566500 // OS01G0746400 // AT4G32810	Plant-Hormone-Biosynthesis	RXN-13645 // RXN-13644 // RXN-13643 // RXN-13642 // RXN-13641	Acceptor // OXYGEN-MOLECULE // CPD1F-129	CPD-14652 // Donor-H2 // CPD-14650 // CPD-7204
PWY-5161	WATER // Ox-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // CPD-7391 // CPD-3041 // UDP // CPD-7390 // PROTON // CPD-12575 // BUTEIN	MONOMER-12118 // MONOMER-12119 // MONOMER-12120		CHALCONE-SYN	RXN-8011 // RXN-8010 // RXN-8009	CPD-12575 // CPD-3041 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	PROTON // CPD-7390 // UDP // CPD-7391 // Ox-NADPH-Hemoprotein-Reductases // WATER
PWY-5061	CPD-3061 // Ox-NADPH-Hemoprotein-Reductases // CPD-6996 // Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // WATER // CPD-6998 // CPD-6997	GLYMA.18G080300-MONOMER // MONOMERN7V-47185 // MONOMERN7V-47214 // GLYMA.18G080400-MONOMER // GLYMA.14G117200-MONOMER // MONOMERN7V-48608 // GLYMA.09G279100-MONOMER // MONOMERN7V-50414 // MONOMERN7V-50647 // MONOMERN7V-51464 // MONOMERN7V-51633 // GLYMA.08G327200-MONOMER // GLYMA.08G327300-MONOMER // GLYMA.08G327100-MONOMER // MONOMERN7V-53112 // GLYMA.20G007000-MONOMER // MONOMERN7V-53355 // GLYMA.20G007100-MONOMER // GLYMA.20G006900-MONOMER // GLYMA.17G209100-MONOMER // MONOMER-11803 // MONOMER-7521 // MONOMER-4604	GLYMA.18G080300 // GLYMA.18G080200 // GLYMA.18G080601 // GLYMA.18G080400 // GLYMA.14G117200 // GLYMA.14G015001 // GLYMA.09G279100 // GLYMA.07G160700 // GLYMA.07G159800 // GLYMA.08G326900 // GLYMA.08G182100 // GLYMA.08G327200 // GLYMA.08G327300 // GLYMA.08G327100 // GLYMA.20G007202 // GLYMA.20G007000 // GLYMA.20G008200 // GLYMA.20G007100 // GLYMA.20G006900 // GLYMA.17G209100 // G-9167 // G-5741 // G-3621	ISOFLAVONOID-SYN	RXN-7656 // RXN-7655 // RXN-7654	Red-NADPH-Hemoprotein-Reductases // OXYGEN-MOLECULE // CPD-3061	CPD-6998 // WATER // Ox-NADPH-Hemoprotein-Reductases
PWY-6920	COUMARATE // PPI // AMP // CPD-195 // ATP // CARBON-DIOXIDE // CO-A // CPD-13647 // P-COUMAROYL-COA // HYDROGEN-PEROXIDE // CPD-196 // OXYGEN-MOLECULE // WATER // CPD0-2108 // PROTON // NADH // CPD0-2106 // CPD-14916 // NAD	OS03G0152400-MONOMER // MONOMERN7F-10962 // OS02G0697400-MONOMER // OS03G0130100-MONOMER // OS09G0555800-MONOMER // OS02G0177600-MONOMER // OS08G0245200-MONOMER // OS08G0448000-MONOMER // MONOMER-13687 // LOC_OS02G08100.1-MONOMER // OS03G0101000-MONOMER // OS03G0305000-MONOMER // OS03G0305100-MONOMER // MONOMER-16866 // OS07G0271500-MONOMER // OS07G0526400-MONOMER // OS07G0525900-MONOMER // OS07G0525500-MONOMER // OS11G0529100-MONOMER // OS11G0529800-MONOMER // OS11G0529500-MONOMER // MONOMER-16869 // OS11G0605500-MONOMER // MONOMERN7F-11950 // OS06G0346300-MONOMER // OS06G0347100-MONOMER // OS06G0354500-MONOMER // OS01G0159400-MONOMER // OS05G0163700-MONOMER // OS02G0765800-MONOMER // OS01G0357200-MONOMER // OS06G0211300-MONOMER // OS09G0544900-MONOMER // MONOMERN7F-10619	OS03G0152400 // OS06G0656500 // OS02G0697400 // OS03G0130100 // OS09G0555800 // OS02G0177600 // OS08G0245200 // OS08G0448000 // G-10448 // LOC_OS02G08100.1 // OS03G0101000 // OS03G0305000 // OS03G0305100 // G-14690 // OS07G0271500 // OS07G0526400 // OS07G0525900 // OS07G0525500 // OS11G0529100 // OS11G0529800 // OS11G0529500 // G-14693 // OS11G0605500 // OS06G0103500 // OS06G0346300 // OS06G0347100 // OS06G0354500 // OS01G0159400 // OS05G0163700 // OS02G0765800 // OS01G0357200 // OS06G0211300 // OS09G0544900 // OS05G0185700	SECONDARY-METABOLITE-BIOSYNTHESIS	RXN-14275 // RXN-14276 // RXN-12669 // RXN-12668 // R223-RXN // 4-COUMARATE--COA-LIGASE-RXN	NAD // WATER // OXYGEN-MOLECULE // CPD-195 // ATP // COUMARATE	NADH // PROTON // HYDROGEN-PEROXIDE // CPD-13647 // CARBON-DIOXIDE // AMP // PPI
PWY-6835	PROTON // ADENOSYL-HOMO-CYS // CPD-13494 // S-ADENOSYLMETHIONINE // CPD-13495	MONOMER-16745	G-14593	PHENYLPROPANOID-SYN	RXN-12527	S-ADENOSYLMETHIONINE // CPD-13495	CPD-13494 // ADENOSYL-HOMO-CYS // PROTON
PWY-6147	AMP // DIHYDROPTERIN-CH2OH-PP // ATP // AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE // GLYCOLALDEHYDE // Pi // DIHYDRO-NEO-PTERIN // PPI // DIHYDRONEOPTERIN-P // DIHYDRONEOPTERIN-P3 // FORMATE // PROTON // GTP // WATER	AT4G30000-MONOMER // MONOMERQT-9138 // CPLX-5361 // AT1G69190-MONOMER // AT3G21730-MONOMER // AT5G62980-MONOMER // CPLX-7907 // AT1G68760-MONOMER // AT3G07270-CPLX	AT4G30000 // AT2G19180 // G-6819 // AT1G69190 // AT3G21730 // AT5G62980 // AT3G11750 // AT1G68760 // AT3G07270	6-HM-Dihydropterin-PP-Biosynthesis	GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN	GTP // WATER // ATP	PROTON // FORMATE // PPI // Pi // GLYCOLALDEHYDE // DIHYDROPTERIN-CH2OH-PP // AMP
PWY-4922	WATER // NADP // NADPH // 6-METHOXYMELLEIN // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // 6-HYDROXYMELLEIN // CARBON-DIOXIDE // CO-A // CPD-6862 // PROTON // ACETYL-COA // MALONYL-COA	CPLX-14 // MONOMER-11169		POLYKETIDE-SYN // COUMARIN-PHYTOALEXINS // COUMARIN-SYN	RXN-7404 // 6-HYDROXYMELLEIN-O-METHYLTRANSFERASE-RXN // RXN-7405	ACETYL-COA // MALONYL-COA // S-ADENOSYLMETHIONINE // NADPH	CPD-6862 // CO-A // CARBON-DIOXIDE // ADENOSYL-HOMO-CYS // 6-METHOXYMELLEIN // NADP // WATER
